시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,640,858,55,2,12,2,0,0,1,0,1,0
서울특별시,597,691,48,1,11,0,0,4,2,1,0,0
서울특별시,645,744,47,2,12,1,0,1,2,2,0,2
서울특별시,594,698,44,1,11,0,0,0,2,1,0,1
서울특별시,655,685,65,0,18,1,0,0,3,0,1,0
서울특별시,3333,2200,133,3,14,1,2,0,4,1,0,1
서울특별시,533,568,52,0,8,1,1,0,3,1,0,0
서울특별시,636,885,67,0,4,0,0,0,1,0,0,0
서울특별시,555,588,33,3,4,0,0,0,1,3,0,1
서울특별시,850,866,46,1,14,0,0,0,3,5,1,2
서울특별시,779,931,46,0,23,1,1,0,1,3,0,0
서울특별시,993,939,58,2,20,0,0,1,3,1,0,1
서울특별시,3322,3251,167,4,15,1,0,0,2,2,1,2
서울특별시,581,1282,44,1,5,1,0,0,0,1,0,0
서울특별시,646,727,77,0,9,0,0,0,2,0,0,0
서울특별시,818,976,43,3,11,1,0,1,3,2,2,2
서울특별시,429,930,55,1,6,0,0,4,0,0,0,2
서울특별시,712,1201,55,0,9,1,0,1,2,1,0,1
서울특별시,522,1354,40,0,5,0,0,1,1,0,0,0
서울특별시,3279,3333,136,4,10,1,0,2,0,2,1,0
서울특별시,777,1444,51,0,4,1,1,0,3,0,1,0
서울특별시,490,1188,35,0,3,1,2,0,1,0,0,0
서울특별시,768,1088,57,1,4,0,0,1,0,0,0,0
서울특별시,787,1177,62,1,3,1,0,0,2,0,0,0
서울특별시,932,1429,89,0,8,0,1,0,4,2,1,0
서울특별시,654,1349,60,0,4,0,1,0,0,0,0,1
서울특별시,3983,2853,206,4,27,3,0,1,1,4,1,1
서울특별시,508,562,47,0,11,0,0,1,1,4,1,0
서울특별시,544,642,46,0,4,0,1,0,4,0,1,0
서울특별시,722,874,57,1,10,1,0,2,1,1,0,0
서울특별시,405,468,34,1,12,1,0,2,0,2,0,0
서울특별시,403,413,29,0,12,0,0,0,0,1,1,0
서울특별시,522,536,23,0,8,0,0,1,1,0,0,0
서울특별시,2758,1986,111,4,13,1,0,0,4,4,0,1
서울특별시,562,809,35,0,2,1,0,2,1,1,0,1
서울특별시,560,956,50,1,7,0,0,2,7,2,0,0
서울특별시,618,634,43,0,8,1,0,1,0,2,0,0
서울특별시,551,709,48,0,11,0,0,0,0,0,0,1
서울특별시,586,594,35,1,15,0,0,0,1,2,0,0
서울특별시,773,832,49,0,17,2,1,0,1,1,0,0
서울특별시,3940,3881,176,3,13,1,0,0,1,2,0,2
서울특별시,529,731,47,0,7,0,0,0,4,1,1,1
서울특별시,528,962,31,1,8,0,0,0,1,0,0,1
서울특별시,515,859,46,1,3,0,0,0,1,0,0,0
서울특별시,484,795,41,0,3,0,0,0,5,0,0,7
서울특별시,471,835,47,0,5,0,0,0,0,1,0,0
서울특별시,326,423,22,0,4,0,0,0,2,1,0,0
서울특별시,354,1486,31,1,5,0,0,4,1,0,0,0
서울특별시,2602,2228,127,2,25,1,2,1,2,5,1,1
서울특별시,384,506,24,2,10,0,0,2,3,1,0,0
