지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
경기 파주시,125980,99322,36566.0,29122.0,30421.0,638.0,273.0,254.0,356.0,97630,1692,26658
경기 고양시덕양구,232783,186857,71872.0,75339.0,34678.0,2045.0,189.0,281.0,228.0,184632,2225,45926
경기 하남시,85156,68002,23156.0,26217.0,16877.0,487.0,85.0,109.0,90.0,67021,981,17154
경기 광주군,75228,59306,16975.0,20390.0,20091.0,352.0,130.0,108.0,151.0,58197,1109,15922
경기 포천군,98084,77957,29414.0,23302.0,22338.0,482.0,277.0,202.0,372.0,76387,1570,20127
경기 연천군,39855,32288,11147.0,9541.0,10348.0,207.0,88.0,78.0,173.0,31582,706,7567
경기 양평군,59835,47439,15036.0,12043.0,18318.0,326.0,204.0,151.0,298.0,46376,1063,12396
경기 가평군,41299,32966,10570.0,8699.0,12281.0,223.0,158.0,89.0,194.0,32214,752,8333
경기 이천시,115312,90750,27314.0,27099.0,33487.0,860.0,207.0,168.0,264.0,89399,1351,24562
경기 용인시,201487,159750,53141.0,57844.0,43985.0,1412.0,320.0,319.0,307.0,157328,2422,41737
경기 안성군,90028,72252,21908.0,24995.0,22558.0,716.0,210.0,204.0,269.0,70860,1392,17776
경기 김포군,86552,68245,23652.0,21792.0,20763.0,502.0,122.0,114.0,199.0,67144,1101,18307
강원 춘천시갑,83323,65976,27986.0,16455.0,19147.0,701.0,205.0,154.0,247.0,64895,1081,17347
강원 춘천시을,85203,67938,29590.0,17143.0,18864.0,815.0,196.0,192.0,221.0,67021,917,17265
강원 원주시갑,87113,68853,27457.0,18471.0,20143.0,1163.0,177.0,115.0,203.0,67729,1124,18260
강원 원주시을,86507,69359,27052.0,18356.0,21152.0,864.0,232.0,139.0,289.0,68084,1275,17148
강원 강릉시갑,72956,56850,32166.0,10244.0,12431.0,581.0,171.0,88.0,239.0,55920,930,16106
