지역,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일
경남 진주시을,63388.0,8611.0,23567.0,1407.0,181.0,131.0,379.0
경남 진해시,44320.0,9168.0,21025.0,943.0,98.0,60.0,178.0
경남 통영시,38323.0,4921.0,28214.0,554.0,191.0,129.0,452.0
경남 고성군,19530.0,3500.0,14047.0,414.0,146.0,62.0,360.0
경남 사천시,39884.0,6245.0,19911.0,748.0,147.0,95.0,423.0
경남 김해시,69888.0,21719.0,62974.0,1499.0,247.0,165.0,372.0
경남 의령군,11866.0,2064.0,7498.0,194.0,120.0,48.0,326.0
경남 함안군,20539.0,3677.0,13498.0,459.0,93.0,73.0,289.0
경남 창녕군,24308.0,5147.0,13846.0,429.0,123.0,75.0,502.0
경남 밀양시,40788.0,7283.0,22427.0,623.0,181.0,103.0,471.0
경남 양산시,40989.0,12207.0,35020.0,1422.0,112.0,86.0,166.0
경남 거제시,35427.0,9923.0,35735.0,3428.0,189.0,112.0,496.0
경남 하동군,19730.0,4358.0,11939.0,309.0,146.0,93.0,421.0
경남 남해군,20479.0,3724.0,12333.0,463.0,110.0,59.0,337.0
경남 함양군,15863.0,3335.0,8829.0,229.0,143.0,94.0,359.0
경남 산청군,15852.0,2768.0,7147.0,477.0,105.0,61.0,344.0
경남 거창군,25141.0,3978.0,11827.0,349.0,106.0,62.0,375.0
경남 합천군,24652.0,4092.0,9011.0,415.0,134.0,89.0,595.0
제주 제주시,53153.0,53254.0,24317.0,2085.0,156.0,258.0,290.0
제주 북제주군,18519.0,20105.0,12921.0,701.0,166.0,227.0,439.0
제주 서귀포시,14768.0,20392.0,8288.0,542.0,78.0,120.0,192.0
제주 남제주군,13663.0,17258.0,10488.0,528.0,151.0,194.0,324.0
